"","y","Bayes","EBLUP_ML","sqrt_D","Post SDs","RMSE","length CrI","length CI","n"
"1",0.842,0.83,0.829,0.037,0.037,0.037,0.144,0.144,158
"2",0.253,0.254,0.255,0.037,0.036,0.036,0.143,0.143,162
"3",0.675,0.631,0.625,0.074,0.071,0.07,0.274,0.275,40
"4",0.139,0.146,0.147,0.034,0.034,0.034,0.134,0.133,187
"5",0.226,0.234,0.235,0.041,0.04,0.04,0.157,0.157,133
"6",0.553,0.543,0.542,0.046,0.046,0.045,0.179,0.177,103
"7",0.5,0.518,0.519,0.166,0.131,0.129,0.512,0.505,8
"8",0.133,0.135,0.135,0.02,0.02,0.02,0.078,0.078,547
"9",0.789,0.785,0.784,0.108,0.099,0.098,0.389,0.384,19
"10",0.165,0.17,0.17,0.042,0.041,0.041,0.16,0.161,127
"11",0.569,0.565,0.564,0.033,0.032,0.032,0.127,0.126,209
"12",0.425,0.434,0.434,0.074,0.07,0.07,0.272,0.274,40
"13",1,0.953,0.95,0.149,0.129,0.131,0.503,0.512,10
"14",0.154,0.16,0.161,0.028,0.027,0.027,0.105,0.107,292
"15",0.61,0.579,0.575,0.061,0.059,0.059,0.232,0.231,59
"16",0.673,0.655,0.652,0.067,0.064,0.064,0.252,0.251,49
"17",0.328,0.33,0.329,0.03,0.03,0.03,0.116,0.118,238
"18",0.443,0.436,0.435,0.048,0.046,0.047,0.184,0.182,97
"19",0.259,0.259,0.259,0.016,0.016,0.016,0.061,0.062,887
"20",0.191,0.195,0.195,0.057,0.055,0.055,0.214,0.216,68
"21",0.245,0.247,0.247,0.02,0.02,0.02,0.078,0.078,548
"22",0.27,0.276,0.276,0.042,0.042,0.041,0.164,0.161,126
"23",0.304,0.305,0.305,0.024,0.023,0.023,0.09,0.092,398
"24",0.435,0.432,0.432,0.069,0.065,0.066,0.255,0.258,46
"25",0.082,0.09,0.091,0.033,0.032,0.032,0.126,0.127,207
"26",0.214,0.227,0.229,0.126,0.108,0.108,0.419,0.423,14
"27",0.086,0.113,0.116,0.062,0.059,0.059,0.23,0.232,58
"28",0.711,0.707,0.707,0.07,0.067,0.067,0.263,0.262,45
"29",0.325,0.324,0.323,0.074,0.069,0.07,0.266,0.276,40
"30",0.53,0.529,0.529,0.052,0.049,0.05,0.194,0.196,83
"31",0.2,0.262,0.27,0.105,0.094,0.094,0.362,0.367,20
"32",0.426,0.426,0.425,0.064,0.061,0.061,0.237,0.24,54
"33",0.373,0.372,0.372,0.021,0.021,0.021,0.084,0.083,485
"34",0.92,0.868,0.859,0.066,0.064,0.063,0.256,0.248,50
"35",0.419,0.426,0.429,0.06,0.057,0.058,0.226,0.226,62
"36",0.485,0.482,0.482,0.036,0.036,0.035,0.143,0.139,171
"37",0.589,0.585,0.584,0.042,0.042,0.041,0.164,0.162,124
"38",0.656,0.649,0.648,0.032,0.033,0.032,0.127,0.125,212
"39",0.233,0.238,0.238,0.044,0.043,0.043,0.166,0.168,116
"40",0.353,0.401,0.407,0.114,0.1,0.1,0.394,0.392,17
